,YM,Type,BAS_ID,TotalSpent,DisSpent,NumofSpent,NumofDisSpent
235,202005,가정용품수리,63127,6555000,943899,67,12
236,202005,가정용품수리,63133,150000,150000,1,1
237,202005,가정용품수리,63146,2377000,551000,8,2
238,202005,가정용품수리,63167,643000,0,16,0
239,202005,가정용품수리,63174,330000,0,2,0
240,202005,가정용품수리,63202,1925000,510000,5,2
241,202005,가정용품수리,63205,95000,0,2,0
242,202005,가정용품수리,63208,205000,0,5,0
243,202005,가정용품수리,63222,22511326,9674320,315,100
244,202005,가정용품수리,63245,1025500,150000,7,1
245,202005,가정용품수리,63274,6730000,0,10,0
246,202005,가정용품수리,63296,1013900,214900,11,3
247,202005,가정용품수리,63307,54479700,5055840,573,78
248,202005,가정용품수리,63336,990000,0,4,0
249,202005,가정용품수리,63357,905000,470000,4,2
250,202005,가정용품수리,63559,2337200,997830,24,6
251,202005,가정용품수리,63569,3000,0,1,0
252,202005,가정용품수리,63587,398000,146000,6,4
253,202005,가정용품수리,63588,13172700,1908220,184,35
254,202005,가정용품수리,63589,41839900,6703690,463,69
255,202005,건강식품(회원제형태),63069,164000,0,4,0
256,202005,건강식품(회원제형태),63108,7662600,0,12,0
257,202005,건강식품(회원제형태),63124,495000,400000,3,1
258,202005,건강식품(회원제형태),63127,353000,0,3,0
259,202005,건강식품(회원제형태),63213,228100,0,3,0
260,202005,건강식품(회원제형태),63624,60000,0,1,0
261,202005,건강진단,63136,156943340,34436000,1805,465
262,202005,건축요업품,63031,60000,0,1,0
263,202005,건축요업품,63032,7579300,1933070,89,24
264,202005,건축요업품,63054,66000,0,1,0
265,202005,건축요업품,63069,1060900,0,9,0
266,202005,건축요업품,63074,57850,25550,3,1
267,202005,건축요업품,63075,1275000,0,5,0
268,202005,건축요업품,63088,45000,0,1,0
269,202005,건축요업품,63095,66000,10000,4,1
270,202005,건축요업품,63103,8976600,1619060,383,70
271,202005,건축요업품,63116,12322900,1421730,146,34
272,202005,건축요업품,63118,503000,400000,7,3
273,202005,건축요업품,63127,1650400,154900,65,14
274,202005,건축요업품,63140,230000,0,1,0
275,202005,건축요업품,63142,1193200,85000,11,3
276,202005,건축요업품,63147,267000,0,2,0
277,202005,건축요업품,63148,5605500,627500,38,10
278,202005,건축요업품,63170,1772500,445910,23,8
279,202005,건축요업품,63179,735000,0,2,0
280,202005,건축요업품,63189,931000,61000,7,2
281,202005,건축요업품,63196,3068500,535500,40,9
282,202005,건축요업품,63210,150000,0,1,0
283,202005,건축요업품,63216,90000,0,1,0
284,202005,건축요업품,63222,63800,63800,1,1
285,202005,건축요업품,63224,1796500,298000,35,3
286,202005,건축요업품,63225,16764350,1326540,308,48
287,202005,건축요업품,63227,30000,0,2,0
288,202005,건축요업품,63229,67000,0,1,0
289,202005,건축요업품,63234,8781500,1222900,45,7
290,202005,건축요업품,63245,177000,27000,2,1
291,202005,건축요업품,63251,728000,0,3,0
292,202005,건축요업품,63278,7687000,1118000,62,12
293,202005,건축요업품,63289,275000,275000,1,1
294,202005,건축요업품,63296,601000,36000,8,2
295,202005,건축요업품,63297,154000,0,1,0
296,202005,건축요업품,63299,2496550,1600,13,1
297,202005,건축요업품,63304,2813330,18200,12,1
298,202005,건축요업품,63308,175000,60650,2,1
299,202005,건축요업품,63326,130000,130000,1,1
300,202005,건축요업품,63328,7075500,584430,40,6
301,202005,건축요업품,63337,25000,0,1,0
302,202005,건축요업품,63361,7240800,652000,71,4
303,202005,건축요업품,63553,16000,0,1,0
304,202005,건축요업품,63569,44825030,6518670,799,151
305,202005,건축요업품,63571,8023000,785664,35,11
306,202005,건축요업품,63579,803400,374000,9,1
307,202005,건축요업품,63585,706000,85000,15,2
308,202005,건축요업품,63586,3743200,317600,25,5
309,202005,건축요업품,63589,498000,110000,14,3
310,202005,건축요업품,63591,346000,183000,8,3
311,202005,건축요업품,63618,1343000,219000,8,1
312,202005,건축요업품,63629,2300200,121600,15,3
313,202005,건축요업품,63640,4315500,214000,24,5
314,202005,견인서비스,63098,290000,90000,3,2
315,202005,견인서비스,63146,1176540,98150,23,4
316,202005,견인서비스,63246,1045000,0,2,0
317,202005,견인서비스,63263,60000,0,1,0
318,202005,골동품점,63061,160000,0,1,0
319,202005,골프경기장,63005,192047800,0,1465,0
320,202005,골프경기장,63020,195755024,0,610,0
321,202005,골프경기장,63021,149969175,0,1237,0
322,202005,골프경기장,63028,1831000,0,56,0
323,202005,골프경기장,63034,176000,0,4,0
324,202005,골프경기장,63038,186443500,0,1533,0
325,202005,골프경기장,63041,306397580,0,1881,0
326,202005,골프경기장,63043,1328000,0,39,0
327,202005,골프경기장,63054,923000,0,20,0
328,202005,골프경기장,63057,1648000,0,44,0
329,202005,골프경기장,63069,6285000,0,131,0
330,202005,골프경기장,63070,4316000,0,101,0
331,202005,골프경기장,63071,3370000,0,97,0
332,202005,골프경기장,63081,1384000,0,43,0
333,202005,골프경기장,63082,3706000,0,44,0
334,202005,골프경기장,63084,18612000,0,409,0
335,202005,골프경기장,63088,1837000,0,42,0
336,202005,골프경기장,63092,3655000,0,61,0
337,202005,골프경기장,63093,1463000,0,36,0
338,202005,골프경기장,63097,1208000,0,33,0
339,202005,골프경기장,63100,5432000,0,121,0
340,202005,골프경기장,63107,6839000,0,50,0
341,202005,골프경기장,63109,862000,0,25,0
342,202005,골프경기장,63118,1200000,0,33,0
343,202005,골프경기장,63124,3096500,0,73,0
344,202005,골프경기장,63133,138842325,0,1116,0
345,202005,골프경기장,63141,3795000,0,84,0
346,202005,골프경기장,63142,9538000,0,224,0
347,202005,골프경기장,63144,280380885,0,1956,0
348,202005,골프경기장,63182,1012000,0,19,0
349,202005,골프경기장,63198,2933000,0,85,0
350,202005,골프경기장,63215,2181000,0,50,0
351,202005,골프경기장,63220,2065000,0,41,0
352,202005,골프경기장,63221,9577500,0,226,0
353,202005,골프경기장,63222,509000,0,13,0
354,202005,골프경기장,63230,5067000,0,115,0
355,202005,골프경기장,63232,2325000,0,56,0
356,202005,골프경기장,63234,2525000,0,61,0
357,202005,골프경기장,63242,127223876,0,1245,0
358,202005,골프경기장,63248,1958000,0,47,0
359,202005,골프경기장,63254,3596000,0,32,0
360,202005,골프경기장,63273,4261900,0,87,0
361,202005,골프경기장,63300,5003000,0,116,0
362,202005,골프경기장,63310,123195750,0,1589,0
363,202005,골프경기장,63313,1652000,0,57,0
364,202005,골프경기장,63316,4135000,0,119,0
365,202005,골프경기장,63323,4730000,0,135,0
366,202005,골프경기장,63326,264000,0,10,0
367,202005,골프경기장,63330,60277000,0,761,0
368,202005,골프경기장,63331,1062000,0,22,0
369,202005,골프경기장,63333,286000,0,8,0
370,202005,골프경기장,63339,138327400,0,1138,0
371,202005,골프경기장,63346,93378650,0,776,0
372,202005,골프경기장,63348,220885200,0,1402,0
373,202005,골프경기장,63361,436000,0,10,0
374,202005,골프경기장,63508,497000,0,14,0
375,202005,골프경기장,63510,1220000,0,55,0
376,202005,골프경기장,63519,2562000,0,59,0
377,202005,골프경기장,63523,192001500,0,1717,0
378,202005,골프경기장,63524,216013220,0,583,0
379,202005,골프경기장,63525,174973215,0,1287,0
380,202005,골프경기장,63526,129270664,0,1277,0
381,202005,골프경기장,63528,473000,0,20,0
382,202005,골프경기장,63535,129733700,0,1111,0
383,202005,골프경기장,63546,1830000,0,39,0
384,202005,골프경기장,63549,160658500,0,1271,0
385,202005,골프경기장,63554,10206200,0,112,0
386,202005,골프경기장,63556,2988000,0,67,0
387,202005,골프경기장,63559,2047000,0,34,0
388,202005,골프경기장,63563,1833000,0,59,0
389,202005,골프경기장,63582,90632530,0,757,0
390,202005,골프경기장,63584,8961000,0,176,0
391,202005,골프경기장,63598,4570000,0,115,0
392,202005,골프경기장,63609,119865010,0,747,0
393,202005,골프경기장,63615,167362700,0,1586,0
394,202005,골프경기장,63616,365737499,0,2375,0
395,202005,골프경기장,63625,97000,0,6,0
396,202005,골프경기장,63628,2262000,0,60,0
397,202005,골프경기장,63640,499000,0,12,0
398,202005,골프연습장,63005,2365000,0,60,0
399,202005,골프연습장,63021,510000,0,27,0
400,202005,골프연습장,63065,5354000,0,293,0
401,202005,골프연습장,63076,2730000,0,52,0
402,202005,골프연습장,63082,3720000,0,65,0
403,202005,골프연습장,63096,250000,0,1,0
404,202005,골프연습장,63098,570000,0,2,0
405,202005,골프연습장,63103,700000,0,2,0
406,202005,골프연습장,63129,20000,0,1,0
407,202005,골프연습장,63136,2198000,0,52,0
408,202005,골프연습장,63142,600000,0,1,0
409,202005,골프연습장,63144,2464000,0,10,0
410,202005,골프연습장,63145,3055000,0,21,0
411,202005,골프연습장,63147,5880000,0,107,0
412,202005,골프연습장,63164,2475000,0,55,0
413,202005,골프연습장,63197,730275,0,29,0
414,202005,골프연습장,63219,700000,0,1,0
415,202005,골프연습장,63223,400000,0,1,0
416,202005,골프연습장,63228,1600000,0,8,0
417,202005,골프연습장,63236,1656000,0,41,0
418,202005,골프연습장,63242,7220000,0,43,0
419,202005,골프연습장,63300,1430000,0,3,0
420,202005,골프연습장,63302,450000,0,1,0
421,202005,골프연습장,63303,3000000,0,4,0
422,202005,골프연습장,63305,11505000,0,278,0
423,202005,골프연습장,63321,550000,0,2,0
424,202005,골프연습장,63344,19376900,0,470,0
425,202005,골프연습장,63345,930000,0,4,0
426,202005,골프연습장,63512,17500,0,2,0
427,202005,골프연습장,63520,1000000,0,1,0
428,202005,골프연습장,63535,4909000,0,125,0
429,202005,골프연습장,63539,6097000,0,100,0
430,202005,골프연습장,63572,6425000,0,71,0
431,202005,골프연습장,63580,7580000,0,48,0
432,202005,골프연습장,63614,820000,0,5,0
433,202005,골프연습장,63623,100171795,0,797,0
434,202005,골프연습장,63625,778000,0,15,0
435,202005,골프연습장,63639,3528000,0,44,0
436,202005,골프연습장,63644,935000,0,2,0
437,202005,골프용품,63021,4107000,83900,80,2
438,202005,골프용품,63062,3399000,116000,99,3
439,202005,골프용품,63092,3779000,254000,75,7
440,202005,골프용품,63105,200000,60000,2,1
441,202005,골프용품,63129,401000,80000,11,2
442,202005,골프용품,63135,6508000,457900,114,14
443,202005,골프용품,63138,39944100,2086910,107,9
444,202005,골프용품,63140,11194000,15900,19,1
445,202005,골프용품,63142,10221500,1857555,77,15
446,202005,골프용품,63145,1721000,72000,30,1
447,202005,골프용품,63166,11148875,1492500,51,8
448,202005,골프용품,63186,167000,0,6,0
449,202005,골프용품,63205,10514500,751200,42,4
450,202005,골프용품,63228,6013500,349000,116,5
451,202005,골프용품,63245,2030000,40000,11,2
452,202005,골프용품,63256,1299000,710000,10,2
453,202005,골프용품,63296,690000,0,2,0
454,202005,골프용품,63300,3469000,235910,86,9
455,202005,골프용품,63304,1160000,0,9,0
456,202005,골프용품,63310,570000,6000,22,1
457,202005,골프용품,63317,224000,0,5,0
458,202005,골프용품,63324,5565000,284610,156,10
459,202005,골프용품,63326,2110000,344000,64,8
460,202005,골프용품,63333,703000,73000,14,1
461,202005,골프용품,63522,1815000,0,8,0
462,202005,골프용품,63554,3247221,115000,55,3
463,202005,골프용품,63582,3698500,531000,56,4
464,202005,골프용품,63615,1109000,100000,35,3
465,202005,골프용품,63616,7773000,142030,127,4
466,202005,골프용품,63640,1516000,37000,34,1
467,202005,공공요금,63087,2018960,0,193,0
468,202005,공공요금,63166,156256370,0,12340,0
469,202005,공공요금,63566,62514510,0,4574,0
470,202005,공공요금,63584,490530,0,1,0
471,202005,과학기자재,63102,248500,0,1,0
472,202005,과학기자재,63217,5000,0,1,0
473,202005,과학기자재,63245,150000,0,1,0
474,202005,과학기자재,63296,1035000,277000,11,2
475,202005,과학기자재,63305,200000,200000,1,1
476,202005,관광여행,63000,70000,70000,1,1
477,202005,관광여행,63078,600000,0,1,0
478,202005,관광여행,63081,7000000,0,1,0
479,202005,관광여행,63082,1670300,0,5,0
480,202005,관광여행,63093,357500,12500,205,7
481,202005,관광여행,63097,30000,0,1,0
482,202005,관광여행,63100,4056400,0,7,0
483,202005,관광여행,63108,547200,278400,2,1
484,202005,관광여행,63109,400000,0,1,0
485,202005,관광여행,63112,180600,0,2,0
486,202005,관광여행,63113,1091800,0,2,0
487,202005,관광여행,63114,16028280,59800,423,3
488,202005,관광여행,63115,250000,0,1,0
489,202005,관광여행,63116,32905404,354330,764,7
490,202005,관광여행,63121,327000,0,29,0
491,202005,관광여행,63122,1002000,28000,92,5
492,202005,관광여행,63124,4883390,0,5,0
493,202005,관광여행,63126,100000,0,1,0
494,202005,관광여행,63134,6100500,0,12,0
495,202005,관광여행,63135,964960,0,2,0
496,202005,관광여행,63145,2920710,0,5,0
497,202005,관광여행,63152,308000,0,8,0
498,202005,관광여행,63158,4363960,236310,90,4
499,202005,관광여행,63164,1063000,0,23,0
500,202005,관광여행,63170,1557578,0,8,0
501,202005,관광여행,63184,6974156,0,11,0
502,202005,관광여행,63187,2000000,0,1,0
503,202005,관광여행,63202,236348,0,3,0
504,202005,관광여행,63210,8080200,0,16,0
505,202005,관광여행,63213,4684080,0,8,0
506,202005,관광여행,63214,214000,0,2,0
507,202005,관광여행,63231,3784300,0,5,0
508,202005,관광여행,63233,150000,39000,3,1
509,202005,관광여행,63250,92000,0,1,0
510,202005,관광여행,63253,3332930,0,10,0
511,202005,관광여행,63275,2485420,0,4,0
512,202005,관광여행,63277,2517500,46000,100,2
513,202005,관광여행,63305,1017000,0,1,0
514,202005,관광여행,63309,1000000,0,1,0
515,202005,관광여행,63333,1242000,77230,23,2
516,202005,관광여행,63342,610000,0,1,0
517,202005,관광여행,63348,5347000,140000,34,1
518,202005,관광여행,63365,12523000,78000,709,4
519,202005,관광여행,63508,120000,0,2,0
520,202005,관광여행,63585,4977500,0,39,0
521,202005,관광여행,63640,5895000,0,7,0
522,202005,구내매점,63042,1300000,152910,175,20
523,202005,구내매점,63077,2210000,0,18,0
524,202005,구내매점,63147,3518620,720060,86,20
525,202005,구내매점,63541,930700,587000,9,5
526,202005,구내매점,63548,1104000,0,17,0
527,202005,구내매점,63565,43166290,10145840,1905,420
528,202005,귀금속,63032,1710000,0,6,0
529,202005,귀금속,63096,700000,0,2,0
530,202005,귀금속,63099,1369000,0,9,0
531,202005,귀금속,63102,245000,0,3,0
532,202005,귀금속,63123,5285000,0,2,0
533,202005,귀금속,63124,490000,0,2,0
534,202005,귀금속,63129,320000,0,1,0
535,202005,귀금속,63131,2101600,0,11,0
536,202005,귀금속,63132,2805000,0,16,0
537,202005,귀금속,63133,580000,0,7,0
538,202005,귀금속,63166,346000,0,4,0
539,202005,귀금속,63168,2058000,0,9,0
540,202005,귀금속,63206,560000,0,2,0
541,202005,귀금속,63207,2170000,0,3,0
542,202005,귀금속,63219,280000,0,2,0
543,202005,귀금속,63227,270000,0,2,0
544,202005,귀금속,63230,6447000,0,14,0
545,202005,귀금속,63275,1319000,0,5,0
546,202005,귀금속,63508,2528000,0,10,0
547,202005,귀금속,63546,35000,0,4,0
548,202005,귀금속,63592,9130000,0,11,0
549,202005,귀금속,63595,7654000,0,45,0
550,202005,귀금속,63619,239700,0,7,0
551,202005,귀금속,63629,35000,0,1,0
552,202005,귀금속,63640,170000,0,2,0
553,202005,기계공구,63013,15384700,3043445,506,106
554,202005,기계공구,63022,836000,0,2,0
555,202005,기계공구,63028,113900,31500,10,2
556,202005,기계공구,63030,500000,135850,12,3
557,202005,기계공구,63032,172000,70000,4,1
558,202005,기계공구,63049,3023000,463000,29,8
559,202005,기계공구,63050,1580500,112000,86,10
560,202005,기계공구,63051,6204300,1329810,238,56
561,202005,기계공구,63052,1880300,147642,70,15
562,202005,기계공구,63053,663900,159300,34,9
563,202005,기계공구,63056,462000,340000,4,2
564,202005,기계공구,63062,728200,0,3,0
565,202005,기계공구,63065,2091980,138600,28,4
566,202005,기계공구,63069,2901500,586000,152,31
567,202005,기계공구,63070,4985820,354490,190,25
568,202005,기계공구,63074,312000,0,2,0
569,202005,기계공구,63076,42000,0,1,0
570,202005,기계공구,63081,1001100,165300,66,10
571,202005,기계공구,63082,1159000,941250,13,8
572,202005,기계공구,63089,336000,48000,21,3
573,202005,기계공구,63093,8728230,1128690,225,33
574,202005,기계공구,63095,12484700,3319780,58,16
575,202005,기계공구,63097,581000,76290,20,6
576,202005,기계공구,63099,731800,138800,70,11
577,202005,기계공구,63103,1009700,310200,25,5
578,202005,기계공구,63108,61000,0,1,0
579,202005,기계공구,63109,1880000,308800,9,2
580,202005,기계공구,63110,84200,5200,3,1
581,202005,기계공구,63112,143070,9000,7,1
582,202005,기계공구,63116,3628800,203200,64,9
583,202005,기계공구,63123,1903600,212200,125,14
584,202005,기계공구,63126,120000,0,5,0
585,202005,기계공구,63133,295000,50000,11,1
586,202005,기계공구,63136,947000,656700,17,8
